event_id,event_timestamp,road_id,road_name,city,latitude,longitude,vehicle_count,average_speed_kmh,occupancy_percent,weather_condition,temperature_c,rainfall_mm,incident_flag
EVTC39A39FA,2026-09-01 00:00:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,64,54.5,15.66,Clear,26.72,0.0,False
EVTC899C9DD,2026-09-01 00:00:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,72,54.29,16.71,Clear,33.86,0.0,False
EVT0A53091E,2026-09-01 00:00:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,40,49.18,22.85,Cloudy,26.37,0.24,False
EVTD3CFE862,2026-09-01 00:00:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,40,55.03,16.38,Cloudy,24.21,0.6,False
EVT44B6105A,2026-09-01 00:00:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,60,22.2,29.28,Clear,25.71,0.0,True
EVTCC46AB70,2026-09-01 00:01:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,45,54.21,18.75,Clear,33.88,0.0,False
EVTCC5BBD04,2026-09-01 00:01:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,62,46.05,14.49,Clear,32.15,0.0,False
EVTFB83955F,2026-09-01 00:01:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,26,49.68,18.34,Clear,29.07,0.0,False
EVTBBE3B17C,2026-09-01 00:01:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,52,51.85,14.26,Clear,26.32,0.0,False
EVTB4F4CD55,2026-09-01 00:01:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,44,62.42,15.64,Clear,32.38,0.0,False
EVT4C510FBB,2026-09-01 00:02:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,51,50.54,14.07,Cloudy,27.82,0.38,False
EVT7E30D868,2026-09-01 00:02:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,68,28.83,29.12,Clear,25.43,0.0,False
EVT52131ECD,2026-09-01 00:02:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,52,37.08,20.91,Rain,27.74,5.75,False
EVTF2764716,2026-09-01 00:02:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,34,53.24,19.23,Clear,27.54,0.0,False
EVT3BBCA9DB,2026-09-01 00:02:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,40,62.23,18.71,Clear,24.79,0.0,False
EVT7225B1A6,2026-09-01 00:03:00,ROAD_001,Gachibowli Main Road,Hyderabad,17.4401,78.3489,27,54.07,22.53,Cloudy,32.45,1.52,False
EVTE3C8744C,2026-09-01 00:03:00,ROAD_002,Hitech City Road,Hyderabad,17.4483,78.3915,48,51.03,29.18,Clear,27.45,0.0,False
EVTD9EAC1CA,2026-09-01 00:03:00,ROAD_003,Madhapur Road,Hyderabad,17.4486,78.3908,67,58.25,20.41,Clear,29.94,0.0,False
EVT6831BFF5,2026-09-01 00:03:00,ROAD_004,Kondapur Road,Hyderabad,17.4584,78.3697,45,51.68,12.4,Clear,24.83,0.0,False
EVTABA34526,2026-09-01 00:03:00,ROAD_005,Airport Route,Hyderabad,17.2403,78.4294,23,59.72,12.58,Cloudy,33.66,0.17,False
